,İlaç Adı
157,britil % 1 5 ml goz damlasi
158,"levoworld % 0.5 goz ve kulak damlasi, cozelti (1 sise)"
159,"demoxidex %0,5 + %0,1 goz damlasi, cozelti (5 ml)"
160,encef 600 mg film kapli tablet (14 tablet)
161,yasmin plus 3 mg/30 mcg/451 mcg+451 mcg film kapli tablet (28 tablet)
162,desiferol fort 20.000 iu yumusak kapsul (14 kapsul)
163,golytely 236 g oral cozelti hazirlamak icin toz (4000 ml)
164,destevit 20.000 i.u. yumusak kapsul (14 kapsul)
165,mesafalk 4 g/60 g rektal suspansiyon (7 adet)
166,pentasa uzatilmis salimli granul 2 g 60 sase
167,mofecept 250 mg 100 film tablet
168,veridex 1 mg film tablet (28 tablet)
169,"oniyonix 350mgi / ml ia,iv enj. icin coz. iceren flakon (100 ml)"
170,"sistral %1,5 jel (20 gr)"
171,haemoctin sdh 500 iu / 10 ml iv enjeksiyonluk toz ve cozucu (1 flakon)
172,venmix 15 mg film kapli tablet (28 tablet)
173,venmix 20 mg film kapli tablet (28 tablet)
174,mycozinc merhem (30 g)
175,diclasil 5 mg film tablet (56 film tablet)
176,enhertu 100 mg iv infuzyonluk cozelti hazirlamada kullanilacak konsantre icin toz (1 adet)
177,arpin 100 mg film kapli tablet (40 adet)
178,arpin 100 mg film kapli tablet (80 adet)
179,rixathon 100 mg/10 ml infuzyonluk cozelti hazirlamak icin konsantre
180,rixathon 500 mg/10 ml infuzyonluk cozelti hazirlamak icin konsantre
181,"selovita-k1 2 mg/0,2 ml pediatrik cozelti (5 adet)"
182,ozempic 0.25 mg enjeksiyonluk cozelti iceren kullanima hazir kalem (1 adet)
183,ozempic 0.50 mg enjeksiyonluk cozelti iceren kullanima hazir kalem (1 adet)
184,ozempic 1 mg enjeksiyonluk cozelti iceren kullanima hazir kalem (1 adet)
185,"fluarix tetra 0,5 ml i.m. enjeksiyon icin suspansiyon iceren kullanima hazir enjektor"
186,alfamino 400 g
187,mupiron %2 krem (15 g)
188,lizera 5 mg film kapli tablet (30 tablet)
189,penfloks 250 mg/ 5 ml şurup hazirlamak i̇çi̇n toz (100 ml)
190,phos-out 667 mg 180 tablet
191,fluzole 200 mg sert kapsul (7 kapsul)
192,halfprin 10 mg uzatilmis salimli tablet (56 tablet)
193,"famodin plus 10 mg/800 mg/165
mg cigneme tableti (12 tb)"
194,"prevenar 20/0,5 ml im enjeksiyonluk suspansiyon iceren kullanima hazir enjektor (1 adet)"
195,clustoid 10000 tu/ml enjeksiyonluk suspansiyon (artemisia)
196,novoplan 2 ml 1 gr 10 ampul
197,ultracef 500 mg 10 film tablet
198,"vaxigrip tetra 0,5 ml im/sc enj. icin susp. 1 kull. haz. enjektor"
199,contour ts kan sekeri test stribi 1x50
200,keto-diastix test cubuklari 1 x 50 
201,contour plus kontrol solusyonu (normal)
202,contour plus kan sekeri̇ test stribi 1x50
203,contour plus elite kan sekeri olcum cihazi
204,contour plus kan sekeri olcum cihazi
205,"allermune cat (felis domesticus) 0,825 hepd dilalti sprey, cozelti"
206,sefotak 0.5 g/2 ml im/iv enjeksiyonluk cozelti hazirlamak icin toz ve cozucu 
207,tinfol 5 mg tablet (50 tablet)
208,dupixent 150 mg/ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (2 adet igne korumasi olan)
209,lemtrada 12 mg /1.2 ml infuzyonluk cozelti hazirlamak icin konsantre
210,"exanafin %1 deriye uygulanacak sprey, cozelti (20 ml) "
211,"orgalutran 0,25mg/0,5 ml enj.coz. 5 siringa"
212,"expaftyn %1 deriye uygulanacak sprey, cozelti"
213,serex 50 mg film kapli tablet (30 film kapli tablet)
214,nubeqa 300 mg film kapli tablet (112 tablet)
215,defirinal 500 mg dagilabilir tablet (28 tablet)
216,tansifa 32 mg/5 mg tablet (28 tablet)
217,glimatine 400 mg film kapli tablet (30 tablet)
218,"linatin met 2,5 mg/1000 mg film kapli tablet (60 tablet)"
219,"linatin met 2,5 mg/850 mg film kapli tablet (60 tablet)"
220,itraxyl 100 mg 15 mikropellet kapsul
221,itraxyl 100 mg 28 mikropellet kapsul
222,clodifen %1 jel 45 gr
223,baclofen sintetica intratekal 0.05mg/1ml enjeksiyonluk cozelti (5 ampul)
224,"flupronat 125 mcg aerosol inhalasyonu, suspansiyon (120 doz)"
225,"flupronat 250 mcg aerosol inhalasyonu, suspansi̇yon 120 doz"
226,"ozaprin 2,5 mg film kapli tablet (28 tablet)"
227,pacrea 10000 iu sert kapsul
228,pacrea 25000 iu sert kapsul
229,venodiol-c 450 mg/50 mg/100 mg tablet (30 tablet)
230,xadago 100 mg film kapli tablet (30 tablet)
231,xadago 50 mg film kapli tablet (30 tablet)
232,nafderilex %1 krem (30 g)
233,"binocrit 3000 iu/0,3 ml sc/iv enjeksiyon icin cozelti iceren 6 kullanima hazir enjektor"
234,"binocrit 4000 iu/0,4 ml sc/iv enjeksiyon icin cozelti iceren 6 kullanima hazir enjektor"
235,gesita 1000 mg/25 ml iv inf.sol. icin konsantre cozelti iceren flakon
236,hycamtin iv liyofilize toz iceren enjektabl flakon (4 mg 1 flakon)
237,mysoline 250 mg 30 tablet
238,ventosal  2 mg/5 ml surup (150 ml)
239,zinomag 30 mg/300 mg film kapli tablet (40 tablet)
240,"zorante %0,1 jel  (30 gram)"
241,"% 0,9 sodyum klorur solusyonu 1000 ml(setli)"
242,"% 0,9 sodyum klorur solusyonu 500 ml(setli)"
243,% 10 dekstroz solusyonu 500 ml(setli)
244,% 5 dekstroz laktatli ringer solusyonu 500 ml(setli)
245,% 5 dekstroz solusyonu 1000 ml(setli)
246,% 5 dekstroz solusyonu 500 ml(setli)
247,"%0,9 izotonik 1000 ml solusyon(setli)"
248,"%0,9 izotonik 500 ml solusyon(setli)"
249,"%0,9 izotonik 500 ml solusyon(setsiz)"
250,"%0,9 izotonik sodyum klorur 250 ml solusyon(setli)"
251,"%0,9 izotonik sodyum klorur 250 ml solusyon(setsiz)"
252,"%0,9 izotonik sodyum klorur cozeltisi 1000 ml bfs (setli)"
253,"%0,9 izotonik sodyum klorur cozeltisi 1000 ml bfs (setsiz)"
254,"%0,9 izotonik sodyum klorur cozeltisi 500 ml bfs (setli)"
255,"%0,9 izotonik sodyum klorur cozeltisi 500 ml bfs (setsiz)"
256,"%0,9 izotonik sodyum klorur cozeltisi bfs 100 ml (setli)"
257,"%0,9 izotonik sodyum klorur cozeltisi bfs 100 ml (setsiz)"
258,"%0,9 izotonik sodyum klorur iceren irrigasyon solusyonu 1000 ml (polipropilen sise)"
259,"%0,9 izotonik sodyum klorur iceren irrigasyon solusyonu 500 ml (polipropilen sise)"
260,"%0,9 nacl ie 1000 ml solusyon(setsiz)"
261,"%0,9 sodyum klorur 10 ml 10 ampul"
262,"%0,9 sodyum klorur ie 500 ml solusyon(setsiz)"
263,"%0,9 sodyum klorur pvc 100 ml solusyon"
264,"%0,9 sodyum klorur pvc 150 ml solusyon"
265,"%0,9 sodyum klorur pvc 250 ml solusyon"
266,"%0,9 sodyum klorur pvc 3000 ml solusyon"
267,%09 izotonik 1000 ml solusyon
268,%09 sodyum klorur 1000 ml solusyon setsiz
269,%09 sodyum klorur 500 ml solusyon setsiz
270,%1.5 glisin cozeltisi 3000 ml (setsiz-medifleks)
271,%10 dekstroz 1000 ml solusyon(setli)
272,%10 dekstroz 1000 ml solusyon(setsiz)
273,%10 dekstroz solusyonu 500 ml setli (cam sise)
274,%10 dekstroz solusyonu 500 ml setsiz (cam sise)
275,%10 dekstroz sudaki 250 ml solusyon(setli)
276,%10 dekstroz sudaki 250 ml solusyon(setsiz)
277,%10 dekstroz sudaki cozeltisi 150 ml (medifleks-setli)
278,%10 dekstroz sudaki cozeltisi 150 ml (medifleks-setsiz)
279,%10 dekstroz sudaki cozeltisi 500 ml (medifleks-setli)
280,%10 dekstroz sudaki cozeltisi 500 ml (medifleks-setsiz)
281,%10 dekstroz sudaki hipertonik solusyon 500 ml setli sise
282,"%17,5 dekstroz biosel sudaki hipertonik solusyon 500 ml setli sise"
283,%20 deks sol torba pvc 500 ml(setli)
284,%20 deks sol torba pvc 500 ml(setsiz)
285,%20 dekstroz 500 ml solusyon(setli)
286,%20 dekstroz 500 ml solusyon(setsiz)
287,%20 dekstroz biosel sudaki hipertonik solusyon 500 ml setli sise
288,%20 dekstroz sudaki 250 ml solusyon(setli)
289,%20 dekstroz sudaki 250 ml solusyon(setsiz)
290,%20 mannitol sudaki cozeltisi  100 ml (setli-medifleks)
291,%20 mannitol sudaki cozeltisi  100 ml (setsiz-medifleks)
292,%20 mannitol sudaki cozeltisi 150 ml (setli-medifleks)
293,%20 mannitol sudaki cozeltisi 150 ml (setsiz-medifleks)
294,%20 mannitol sudaki cozeltisi 500 ml (setli-medifleks)
295,%20 mannitol sudaki cozeltisi 500 ml (setsiz-medifleks)
296,%20 mannitol sudaki solusyon 1000 ml (cam sise) setli
297,%20 mannitol sudaki solusyon 1000 ml (cam sise) setsiz
298,%20 mannitol sudaki solusyon 500 ml (cam sise) setli
299,%20 mannitol sudaki solusyon 500 ml (cam sise) setsiz
300,%20 sodyum klorur cozeltisi iceren 10 ampul
301,%3 sodyum klorur cozeltisi 150 ml (setli) 
302,%3 sodyum klorur cozeltisi 150 ml (setsiz)
303,%3 sodyum klorur cozeltisi 250 ml (setli-medifleks)
304,%3 sodyum klorur cozeltisi 250 ml (setsiz-medifleks)
305,%3 sodyum klorur solusyon 1000 ml cam(setli)
306,%3 sodyum klorur solusyon 1000 ml cam(setsiz)
307,%3 sodyum klorur solusyon 500 ml cam(setli)
308,%3 sodyum klorur solusyon 500 ml cam(setsiz)
309,%30 dekstroz 500 ml sol. setli
310,%30 dekstroz 500 ml solusyon
311,%30 dekstroz biosel sudaki hipertonik solusyon 500 ml setli sise
312,%30 dekstroz sudaki cozeltisi 500 ml (setli-medifleks)
313,%30 dekstroz sudaki cozeltisi 500 ml (setsiz-medifleks)
314,%30 dekstroz sudaki solusyon 250 ml setsiz
315,%30 dekstroz sudaki solusyon 250 ml solusyon(setli)
316,%5 dekstroz  sudaki cozeltisi 50 ml (setli)
317,"%5 dekstroz %0,2 sodyum klorur solusyon 500 ml setli sise"
318,"%5 dekstroz %0,2 sodyum klorur solusyonu 500 ml setsiz sise"
319,"%5 dekstroz %0,45 sodyum klorur %0,3 potasyum klorur solusyonu 500 ml setsiz sise"
320,"%5 dekstroz %0,45 sodyum klorur solusyon 1000 ml setli"
321,"%5 dekstroz %0,45 sodyum klorur solusyon 500 ml setli"
322,"%5 dekstroz %0,45 sodyum klorur solusyonu 1000 ml setli (cam sise)"
323,"%5 dekstroz %0,45 sodyum klorur solusyonu 1000 ml setsiz (cam sise)"
324,"%5 dekstroz %0,45 sodyum klorur solusyonu 1000 ml setsiz sise"
325,"%5 dekstroz %0,45 sodyum klorur solusyonu 500 ml setli (cam sise)"
326,"%5 dekstroz %0,45 sodyum klorur solusyonu 500 ml setsiz (cam sise)"
327,"%5 dekstroz %0,45 sodyum klorur solusyonu 500 ml setsiz sise"
328,"%5 dekstroz %0,9 sodyum klorur biosel solusyon 1000 ml setli"
329,"%5 dekstroz %0,9 sodyum klorur biosel solusyon 500 ml setli"
330,%5 dekstroz %02 nacl pvc 250 ml(setli)
331,%5 dekstroz %02 nacl pvc 250 ml(setsiz)
332,%5 dekstroz %02 nacl pvc 500 ml(setli)
333,%5 dekstroz %02 nacl pvc 500 ml(setsiz)
334,%5 dekstroz %045 sodyum klorur cozeltisi 1000 ml (medifleks-setli)
335,%5 dekstroz %045 sodyum klorur cozeltisi 1000 ml (medifleks-setsiz)
336,%5 dekstroz %045 sodyum klorur cozeltisi 500 ml (medifleks-setli)
337,%5 dekstroz %045 sodyum klorur cozeltisi 500 ml (medifleks-setsiz)
338,%5 dekstroz 1000 ml solusyon(setli)
339,%5 dekstroz 1000 ml solusyon(setsiz)
340,%5 dekstroz 500 ml solusyon(setli)
341,%5 dekstroz 500 ml solusyon(setsiz)
342,%5 dekstroz biosel sudaki solusyon 100 ml setli sise
343,%5 dekstroz biosel sudaki solusyon 1000 ml setli sise
344,%5 dekstroz biosel sudaki solusyon 250 ml setli sise
345,%5 dekstroz biosel sudaki solusyon 500 ml setli sise
346,%5 dekstroz izotonik sodyum klorur 1000 ml (medifleks-setli)
347,%5 dekstroz izotonik sodyum klorur cozeltisi 1000 ml (medifleks-setsiz)
348,%5 dekstroz izotonik sodyum klorur cozeltisi 500 ml (medifleks-setli)
349,%5 dekstroz izotonik sodyum klorur cozeltisi 500 ml (medifleks-setsiz)
350,%5 dekstroz laktat ringer 1000 ml solusyon
351,%5 dekstroz laktat ringer 1000 ml solusyon(setli)
352,%5 dekstroz laktat ringer 500 ml solusyon
353,%5 dekstroz laktat ringer 500 ml solusyon(setli)
354,%5 dekstroz laktat ringer pvc 1000 ml(setsiz)
355,%5 dekstroz laktatli ringer pvc 1000 ml(setli)
356,%5 dekstroz laktatli ringer pvc 500 ml(setli)
357,%5 dekstroz laktatli ringer pvc 500 ml(setsiz)
358,%5 dekstroz pvc 100 ml solusyon
359,%5 dekstroz pvc 150 ml solusyon
360,%5 dekstroz pvc 250 ml solusyon
361,%5 dekstroz ringer laktat biosel solusyon 1000 ml setli sise
362,%5 dekstroz ringer laktat biosel solusyon 500 ml setli sise
363,%5 dekstroz solusyonu bfs 500 ml (setli)
364,%5 dekstroz solusyonu bfs 500 ml (setsiz)
365,%5 dekstroz sudaki 250 ml solusyon(setli)
366,%5 dekstroz sudaki 250 ml solusyon(setsiz)
367,%5 dekstroz sudaki cozeltisi 100 ml (medifleks-setli)
368,%5 dekstroz sudaki cozeltisi 100 ml (setsiz)
369,%5 dekstroz sudaki cozeltisi 1000 ml (medifleks-setsiz)
370,%5 dekstroz sudaki cozeltisi 1000 ml (setli)
371,%5 dekstroz sudaki cozeltisi 150 ml (setli)
372,%5 dekstroz sudaki cozeltisi 150 ml (setsiz)
373,%5 dekstroz sudaki cozeltisi 250 ml (setli)
374,%5 dekstroz sudaki cozeltisi 250 ml (setsiz)
375,%5 dekstroz sudaki cozeltisi 50 ml (medifleks-setsiz)
376,%5 dekstroz sudaki cozeltisi 500 ml (medifleks-setli)
377,%5 dekstroz sudaki cozeltisi 500 ml (medifleks-setsiz)
378,%5 dekstroz sudaki cozeltisi bfs 1000 ml (setsiz)
379,"%5 dekstroz sudaki̇ çözelti̇si̇ bfs (100 ml, 1 şi̇şe, setsi̇z)"
380,"%5 dekstroz-%0,9 sodyum klorur 1000 cc setli (cam sise)"
381,"%5 dekstroz-%0,9 sodyum klorur 1000 cc setsiz (cam sise)"
382,"%5 dekstroz-%0,9 sodyum klorur 500 cc setli (cam sise)"
383,"%5 dekstroz-%0,9 sodyum klorur 500 cc setsiz (cam sise)"
384,"%5 dekstroz+ %0,45 nacl+ %0,3 potasyum klorur 500 ml setli sise"
385,%50 dekstroz biosel sudaki hipertonik solusyon 500 ml setli sise
386,%50 dekstroz sudaki solusyon 1000ml cam(setli)
387,%50 dekstroz sudaki solusyon 1000ml cam(setsiz)
388,%50 dekstroz sudaki solusyon 500ml cam(setli)
389,%50 dekstroz sudaki solusyon 500ml cam(setsiz)
390,1/3 isodexol inf. 500 ml solusyonu(setli)
391,1/3 izodeks cozeltisi 500 ml (setsiz-medifleks)
392,"1/3 polideks (%3,33 dekstroz-%3 sodyum klorur)500 cc setli(cam sise)"
393,"1/3 polideks (%3,33 dekstroz-%3 sodyum klorur)500 cc setsiz(cam sise)"
394,1/3 polideks solusyonu 1000 ml (cam sise ) setli
395,1/3 polideks solusyonu 1000 ml (cam sise ) setsiz
396,1/4 isodexol inf. 500 ml solusyonu(setli)
397,5-frotu 1000 mg/20 ml enj. icin coz. iceren 1 flakon
398,5-frotu 5000 mg/100 ml enj. icin coz. iceren 1 flakon
399,abafine 31g 4mm insulin kalem ignesi
400,abafine 31g 5mm insulin kalem ignesi
401,abafine 31g 6mm insulin kalem ignesi
402,abafine 31g 7mm insulin kalem ignesi
403,abafine 31g 8mm insulin kalem ignesi
404,"abalevo 1,5 mg tablet (1 tablet)"
405,abavir 245 mg 30 film kapli tablet
406,abetyl 250 mg tablet (120 tablet)
407,abilify 1 mg/ml oral solusyon 150 ml
408,abilify 10 mg 28 tablet
409,abilify 15 mg 28 tablet
410,abilify 30 mg 28 tablet
411,abilify 5 mg 28 tablet
412,abilify maintena 400 mg uzun salimli im enjeksiyonluk  1 flakon
413,abiratex 250 mg 120 tablet
414,abitiga 250 mg film kapli tablet
415,abizol 1 mg/ml oral cozelti 150 ml
416,abizol 10 mg 28 tablet
417,abizol 15 mg 28 tablet
418,abizol 20 mg 28 tablet
419,abizol 30 mg 28 tablet
420,abizol 5 mg 28 tablet
421,abizol easytab 10 mg 28 agizda dagilan tablet
422,abizol easytab 15 mg 28 agizda dagilan tablet
423,abizol easytab 5 mg agizda dagilan 28 tablet
424,abound portakal aromali toz 24 gr 30 poset
425,abyga 250 mg tablet (120 tablet)
426,abyga 500 mg film kapli tablet (60 tablet)
427,accu-chek active (model gb) mg/dl kit glukoz olcer
428,accu-chek active 50 test (kan glukozu test seridi)
429,accu-chek instant mg/dl ki̇t
430,accu-chek instant olcum cubuklari (50 test) (glikoz test stripleri)
431,accu-chek performa 50 olcum cubugu
432,accu-chek performa connect mg/dl yalnizca olcum cihazi
433,accu-chek performa nano mg-dl-set
434,"accu-fine 4mm kalem igne 100 adet 0,23mm (32g) x 4mm"
435,"accu-fine 6mm kalem igne 100 adet  0,25mm (31g) x 6mm"
436,ace plus selenyum 30 yumusak kapsul
437,acetudil  forte 60 mg kapsul (20 kapsul)
438,acidpass  10 mg/800 mg/165 mg 12 cigneme tableti
439,acidpass 10/800/165 mg cigneme tableti (6 tablet)
440,aclabon 5mg/100 ml iv infuzyon cozeltisi iceren 1 flakon
441,aclasta 5mg/100 ml iv infuzyon cozeltisi
442,aclorem %0.05 krem (60 g)
443,acmel 500 mg/5 ml im/iv/sc enjeksiyonluk cozelti (5 adet)
444,acnedur %3 merhem (20 g) 
445,acnefferin % 0.1 jel
446,acnegen 10 mg 30 yumusak jelatin kapsul
447,acnegen 20 mg 30 yumusak jelatin kapsul
448,"acnelyse %0,025 krem (20 g)"
449,"acnelyse %0,05 krem"
450,"acnelyse %0,1 krem"
451,"acnemix 46,6 gr jel"
452,acnewell %5 jel (30 gr)
453,"actemra 162 mg/ 0,9 ml sc enj. cozelti iceren kullanima hazir 4 enjektor"
454,actemra 200 mg/10 ml iv infuzyonluk cozelti konsantresi 1 flakon
